Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
706756,MORNINGTON STREET,St Pancras and Somers Town,NW1 7RH,ON BRIDGE,35/18,48,Generic LED Lighting,Lighting Column,300,Yes,528898,183367,-0.142966,51.534504,POINT (-0.142966 51.534504),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
707162,CAMDEN HIGH STREET,Camden Town with Primrose Hill,NW1 8QR,O/S ELEPHANT'S HEAD PH,35/18,54,Generic LED Lighting,Lighting Column,1000,No,528799,184058,-0.14414,51.540736,POINT (-0.14414 51.540736),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
701223,GREVILLE ROAD,Kilburn,NW6 5JD,SIDE OF ASCOT LODGE,35/18,21,Generic LED Lighting,Lighting Column,600,No,525829,183470,-0.187154,51.536121,POINT (-0.187154 51.536121),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
570962,EARLHAM STREET,Holborn and Covent Garden,WC2H 9LL,O/S 1,35/18,39,Generic LED Lighting,Wall Light,,,529974,181069,-0.128309,51.513606,POINT (-0.128309 51.513606),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
706965,ROBERT STREET,Regent's Park,NW1 4BX,BR ALBANY STREET,35/18,102,Generic LED Lighting,Lighting Column,800,No,528832,182704,-0.14416,51.52856,POINT (-0.14416 51.52856),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
705014,ATHLONE STREET,Gospel Oak,NW5 3BA,J/W GRAFTON ROAD,35/18,48,Generic LED Lighting,Lighting Column,800,No,528598,184940,-0.146715,51.548709,POINT (-0.146715 51.548709),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
709636,BEDFORD PLACE,Bloomsbury,WC1B 5JH,BY 30,35/18,39,Generic LED Lighting,Lighting Column,600,Yes,530230,181805,-0.12435,51.520161,POINT (-0.12435 51.520161),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:09 AM
7010515,CHANCERY LANE,Holborn and Covent Garden,WC1V 6AX,S/O 313,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,530972,181601,-0.113737,51.518156,POINT (-0.113737 51.518156),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
706052,KENTISH TOWN ROAD,Kentish Town,NW5 2TJ,J/W LEIGHTON ROAD,35/18,106,Generic LED Lighting,Lighting Column,800,Yes,529019,185185,-0.140557,51.550814,POINT (-0.140557 51.550814),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
707973,CROWNDALE ROAD,St Pancras and Somers Town,NW1 1TT,S/O NO.'S 2-22,35/18,56,Generic LED Lighting,Lighting Column,800,No,529495,183474,-0.134324,51.535329,POINT (-0.134324 51.535329),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
705434,MALDEN PLACE,Haverstock,NW5 4JP,O/S 1 QUADRANT GROVE,35/18,27,Generic LED Lighting,Lighting Column,400,Yes,528023,185086,-0.15495,51.550151,POINT (-0.15495 51.550151),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
703417,AINGER ROAD,Camden Town with Primrose Hill,NW3 3AY,FRONT OF N 28,35/18,42,Generic LED Lighting,Lighting Column,600,No,527733,184022,-0.159516,51.540655,POINT (-0.159516 51.540655),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
703029,NORTH END AVENUE,Hampstead Town,NW3 7HP,OPP N 5,35/18,90,Cosmopolis,Lighting Column,400,Yes,526165,186905,-0.181081,51.566917,POINT (-0.181081 51.566917),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
701824,CHURCH ROW,Frognal and Fitzjohns,NW3 6UT,O/S NO 11,35/18,90,Cosmopolis,Lighting Column,400,Yes,526263,185639,-0.180122,51.555517,POINT (-0.180122 51.555517),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:58 AM
705237,GRAFTON ROAD,Gospel Oak,NW5 4BL,OPPOSITE SCHOOL,35/18,93,Generic LED Lighting,Lighting Column,800,No,528349,185233,-0.150197,51.551398,POINT (-0.150197 51.551398),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
7010224,RUSSELL SQUARE,Holborn and Covent Garden,WC1B 5EG,BY 10-12,35/18,104,LED Street Lights,Lighting Column,1000,No,530097,182088,-0.126161,51.522735,POINT (-0.126161 51.522735),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
707861,CHALTON STREET,St Pancras and Somers Town,NW1 1SA,OPP SPORTS CENTRE,35/18,60,Cosmopolis,Lighting Column,600,No,529562,183195,-0.133462,51.532806,POINT (-0.133462 51.532806),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
703753,GLENILLA ROAD,Belsize,NW3 4NA,S/O 38 BELSIZE PARK GARDENS,35/18,50,Generic LED Lighting,Lighting Column,500,No,527198,184789,-0.166949,51.547668,POINT (-0.166949 51.547668),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
704926,SWAIN'S LANE,Highgate,N6 6PL,BY TENNIS COURTS AND LC 63,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,528448,187244,-0.148036,51.569448,POINT (-0.148036 51.569448),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:03 AM
702733,ELM ROW,Hampstead Town,NW3 1AA,O/S NO 3,35/18,90,Cosmopolis,Lighting Column,400,Yes,526402,186039,-0.177974,51.559081,POINT (-0.177974 51.559081),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
707022,STANHOPE STREET,Regent's Park,NW1 3FH,BY ROBERT ST,35/18,42,Generic LED Lighting,Lighting Column,800,No,529070,182695,-0.140734,51.528425,POINT (-0.140734 51.528425),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
70427,MAYGROVE ROAD,West Hampstead,NW6 2RB,OPP. NO. 176,35/18,50,Generic LED Lighting,Lighting Column,800,No,525218,184757,-0.195501,51.547823,POINT (-0.195501 51.547823),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
701010,COTLEIGH ROAD,Kilburn,NW6 2PB,SIDE OF 125 WEST END LANE,35/18,21,Generic LED Lighting,Lighting Column,600,No,525399,184277,-0.193063,51.543469,POINT (-0.193063 51.543469),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
702208,MARESFIELD GARDENS,Frognal and Fitzjohns,NW3 5TF,O/S NO 43 L.H.S,35/18,42,Generic LED Lighting,Lighting Column,600,No,526441,184996,-0.177786,51.549699,POINT (-0.177786 51.549699),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:59 AM
708529,GOWER STREET,Bloomsbury,WC1E 6BP,OPP GOWER PLACE,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,0,No,529439,182330,-0.135552,51.525061,POINT (-0.135552 51.525061),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:08 AM
70406,LYNCROFT GARDENS,Fortune Green,NW3 7BA,1 ST FROM FINCHLEY ROAD,35/18,51,Generic LED Lighting,Lighting Column,500,No,525473,185474,-0.19157,51.55421,POINT (-0.19157 51.55421),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
704151,CHESTER ROAD,Highgate,N19 5DH,ON CENTRAL ISLAND OPP J/W RAYDON ST,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,400,No,528737,186645,-0.144087,51.563999,POINT (-0.144087 51.563999),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
707899,CHARRINGTON STREET,St Pancras and Somers Town,NW1 1RE,"O/S 18,19",35/18,60,Cosmopolis,Lighting Column,600,No,529637,183285,-0.132348,51.533598,POINT (-0.132348 51.533598),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
709689,BETTERTON STREET,Holborn and Covent Garden,WC2H 9BT,FRONT OF BETTERTON HOUSE,35/18,56,Generic LED Lighting,Lighting Column,500,No,530261,181208,-0.124124,51.514789,POINT (-0.124124 51.514789),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:09 AM
704717,POND SQUARE,Highgate,N6 6BA,FRONT N 5,35/18,100,High Pressure Sodium,Lighting Column,400,Yes,528341,187367,-0.149534,51.570578,POINT (-0.149534 51.570578),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
701062,FAIRHAZEL GARDENS,Swiss Cottage,NW6 3QD,OPP 16,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,526185,184224,-0.181753,51.542818,POINT (-0.181753 51.542818),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
707129,BAYNES STREET,St Pancras and Somers Town,NW1 0TZ,OUTSIDE CAULFIELD COURT,35/18,90,Cosmopolis,Lighting Column,800,No,529367,184147,-0.135922,51.541406,POINT (-0.135922 51.541406),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
708151,OSSULSTON STREET,St Pancras and Somers Town,NW1 1ES,O/S 58,35/18,90,Cosmopolis,Lighting Column,800,No,529783,183035,-0.130336,51.531318,POINT (-0.130336 51.531318),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
7010238,RUSSELL SQUARE,Holborn and Covent Garden,WC1B 5AR,O/S 61 TO 66,35/18,104,LED Street Lights,Lighting Column,1000,No,530239,181966,-0.124161,51.521606,POINT (-0.124161 51.521606),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
704554,LADY SOMERSET ROAD,Kentish Town,NW5 1UP,BY 18,35/18,48,Generic LED Lighting,Lighting Column,800,No,528962,185680,-0.141197,51.555276,POINT (-0.141197 51.555276),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
7010389,STORE STREET,Bloomsbury,WC1E 6HW,S/O NO. 15A,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,300,No,529805,181816,-0.130468,51.520358,POINT (-0.130468 51.520358),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
70928,CANFIELD GARDENS,Swiss Cottage,NW6 3EE,O/S 100,35/18,42,Generic LED Lighting,Lighting Column,600,No,525700,184362,-0.188694,51.544166,POINT (-0.188694 51.544166),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
7011628,LYME TERRACE,Camden Town with Primrose Hill,NW1 9DU,side of 1 to 63 Highstone Mansions,35/18,38,Generic LED Lighting,Lighting Column,400,Yes,529165,184100,-0.13885,51.54103,POINT (-0.13885 51.54103),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:12 AM
701289,KILBURN HIGH ROAD,Kilburn,NW6 4HJ,S/O NO. 12,35/18,50,Generic LED Lighting,Lighting Column,1000,No,525426,183603,-0.192914,51.537406,POINT (-0.192914 51.537406),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
7010899,QUEEN SQUARE,Holborn and Covent Garden,WC1N 3AJ,O/S HOSPITAL,35/18,46,Generic LED Lighting,Lighting Column,500,No,530400,181910,-0.121862,51.521065,POINT (-0.121862 51.521065),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
708666,RIDGMOUNT GARDENS,Bloomsbury,WC1E 7AR,O/S NO 13 - 24,35/18,29,Generic LED Lighting,Lighting Column,500,No,529668,181928,-0.1324,51.521396,POINT (-0.1324 51.521396),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:08 AM
703920,LANCASTER GROVE,Belsize,NW3 4PD,S/O NO 8 LAMBOLLE PLACE,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,527286,184543,-0.16577,51.545438,POINT (-0.16577 51.545438),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
708220,PHOENIX ROAD,St Pancras and Somers Town,NW1 1TA,O/S 20,35/18,31,Generic LED Lighting,Lighting Column,800,No,529589,182915,-0.133175,51.530284,POINT (-0.133175 51.530284),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:07 AM
709483,SEAFORD STREET,King's Cross,WC1H 8JD,FRONT OF ST PETER'SCOURT,35/18,60,Cosmopolis,Lighting Column,600,No,530488,182603,-0.120338,51.527273,POINT (-0.120338 51.527273),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:09 AM
706042,KENTISH TOWN ROAD,Kentish Town,NW5 2AB,O/S 238,35/18,106,Generic LED Lighting,Lighting Column,800,Yes,528999,184996,-0.140914,51.54912,POINT (-0.140914 51.54912),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
705781,ASCHAM STREET,Kentish Town,NW5 2PB,BY 11,35/18,61,Generic LED Lighting,Lighting Column,600,No,529147,185416,-0.138627,51.552861,POINT (-0.138627 51.552861),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
705753,WILLES ROAD,Kentish Town,NW5 3DN,O/S NO 83,35/18,56,Generic LED Lighting,Lighting Column,800,No,528630,184950,-0.14625,51.548791,POINT (-0.14625 51.548791),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:04 AM
704855,SWAIN'S LANE,Highgate,N6 6AP,O/S 7,35/18,90,Cosmopolis,Lighting Column,800,No,528290,186363,-0.150636,51.561567,POINT (-0.150636 51.561567),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
709806,DRURY LANE,Holborn and Covent Garden,WC2B 5AD,O/S NO 39,35/18,60,Generic LED Lighting,Lighting Column,800,No,530391,181199,-0.122255,51.514678,POINT (-0.122255 51.514678),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
709451,ROSEBERY AVENUE,Holborn and Covent Garden,EC1R 5DQ,O/S 168,35/18,152,Generic LED Lighting,Lighting Column,800,No,531058,182016,-0.112344,51.521866,POINT (-0.112344 51.521866),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:09 AM
703305,WELL ROAD,Hampstead Town,NW3 1LH,O/S NO. 5,35/18,38,Generic LED Lighting,Lighting Column,400,Yes,526628,186064,-0.174707,51.559255,POINT (-0.174707 51.559255),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:00 AM
70810,BELSIZE ROAD,Swiss Cottage,NW6 4RD,O/S 4,35/18,48,Generic LED Lighting,Lighting Column,800,No,526485,184286,-0.177407,51.543308,POINT (-0.177407 51.543308),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
70295,HONEYBOURNE ROAD,West Hampstead,NW6 1JJ,S/O NO. 2,35/18,50,Generic LED Lighting,Lighting Column,500,No,525588,185069,-0.190056,51.550545,POINT (-0.190056 51.550545),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:55 AM
